Site Type,Recorded Sites
open habitation,16528
unknown,6410
rock shelter,1148
prehistoric cemetery,365
earth mound,203
isolated non-diagnostic artifact,149
mound complex,127
cave,118
indeterminate mound,114
stone mound,92
quarrylithic extraction,71
Pleistocene fauna,67
shell mound/midden,61
isolated temporally sensitive artifact,59
isolated burial(s),57
quarry,44
stoneworks,38
platform mound,34
fish weir,20
