Year,County,county_tax_receipts_in_millions,LastReportedDate,Unnamed: 4
2001,Jefferson,2.3773,2021-02-04,
2010,Jefferson,3.2576,2021-02-04,
2019,Jefferson,4.761,2021-02-04,
2001,Johnson,0.5417,2021-02-04,
2010,Johnson,0.7072,2021-02-04,
2019,Johnson,0.7801,2021-02-04,
2001,Knox,13.4926,2021-02-04,
2010,Knox,19.799,2021-02-04,
2019,Knox,28.5861,2021-02-04,
2001,Lake,0.6404,2021-02-04,
2010,Lake,0.754,2021-02-04,
2019,Lake,0.849,2021-02-04,
2001,Lauderdale,0.9437,2021-02-04,
2010,Lauderdale,1.2458,2021-02-04,
2019,Lauderdale,1.4464,2021-02-04,
2001,Lawrence,0.678,2021-02-04,
2010,Lawrence,0.9124,2021-02-04,
2019,Lawrence,1.2073,2021-02-04,
2001,Lewis,0.1907,2021-02-04,
2010,Lewis,0.2546,2021-02-04,
2019,Lewis,0.3387,2021-02-04,
2001,Lincoln,0.4387,2021-02-04,
2010,Lincoln,0.592,2021-02-04,
2019,Lincoln,0.789,2021-02-04,
2001,Loudon,0.674,2021-02-04,
2010,Loudon,1.1685,2021-02-04,
2019,Loudon,1.5895,2021-02-04,
2001,Macon,0.2431,2021-02-04,
2010,Macon,0.3394,2021-02-04,
2019,Macon,0.4379,2021-02-04,
2001,Madison,2.5319,2021-02-04,
2010,Madison,3.4753,2021-02-04,
2019,Madison,4.7955,2021-02-04,
2001,Marion,0.7246,2021-02-04,
2010,Marion,1.0737,2021-02-04,
2019,Marion,1.4996,2021-02-04,
2001,Marshall,0.4312,2021-02-04,
2010,Marshall,0.4965,2021-02-04,
2019,Marshall,0.6491,2021-02-04,
2001,Maury,1.364,2021-02-04,
2010,Maury,1.7971,2021-02-04,
2019,Maury,2.9444,2021-02-04,
2001,McMinn,0.6032,2021-02-04,
2010,McMinn,0.8838,2021-02-04,
2019,McMinn,1.2151,2021-02-04,
2001,McNairy,0.4016,2021-02-04,
2010,McNairy,0.5559,2021-02-04,
2019,McNairy,0.6848,2021-02-04,
2001,Meigs,0.7248,2021-02-04,
2010,Meigs,0.902,2021-02-04,
