Site Type,Recorded Sites
"millgrist, blacksmith shop, gunsmith, store, rural domestic farmstead",1
"millgrist, brick kiln, rural domestic house",1
"millgrist, cobbling shop, store",1
"millgrist, distillery",1
"millgrist, home industry_cotton gin",1
"millgrist, home industry_pottery",1
"millgrist, iron forge",1
"millgrist, lock-dam",1
"millgrist, mill_powder, moonshine still",1
"millgrist, mill_saw, blacksmith shop",1
"millgrist, mill_woolen, iron_forge",1
"millgrist, pump house",1
"millgrist, rural domestic scatter",1
"militarymuster grounds, Urban house",1
"militarylong term hospital, school",1
"militaryentrenchment, large battlefield, short term encampment",1
"militaryfort, earthwork, small battlefield",1
"militaryfort, entrenchment, artillery emplacement, large battlefield, long term encampment, explosive magazine, rural domestic house, public cemetery",1
"militaryfort, entrenchment, long term encampment",1
"militaryfort, entrenchment, lunette",1
"militaryfort, entrenchment, redoubt, long term encampment, explosive magazine, private cemetery",1
"militaryfort, entrenchment, redoubt, long term encampment, headquarters, mine_coal",1
"militaryfort, entrenchment, redoubt, small battlefield, long term encampment, signal station, explosive magazine, rural domestic house",1
"militaryfort, entrenchment, small battlefield, long term encampment, cemetery",1
"militaryfort, long term encampment, cemetery",1
"militaryfort, prison",1
"militaryfort, redoubt, rr guard post",1
"militaryfort, short term encampment",1
"militaryfort, small battlefield",1
"militaryfort, small battlefield, long term encampment, headquarters, Urban house",1
"militaryfort, stockade, redoubt, rr guard post, small battlefield, long term encampment, mill_saw",1
militaryfort_encampment_contraband_earthwork_cemetery,1
"militaryfrontier station, blacksmith shop, rural domestic house, private cemetery",1
"militaryfrontier station, blockhouse, cemetery, rural domestic farmstead",1
"militaryfrontier station, blockhouse, headquarters",1
"militaryfrontier station, blockhouse, mill_grist, bridge",1
"militaryfort, earthwork, small battlefield, long term encampment",1
"militaryfort, earthwork, rr guard post, long term encampment",1
"militaryfrontier station, blockhouse, small battlefield, cemetery, rural domestic house",1
"militaryfort, earthwork, rr guard post",1
"militaryentrenchment, large battlefield, short term hospital, headquarters, rural domestic farmstead, cotton gin",1
"militaryentrenchment, redan, long term encampment, headquarters, signal station, public cemetery",1
"militaryentrenchment, redoubt, long term encampment",1
"militaryentrenchment, redoubt, rr guard post",1
"militaryentrenchment, redoubt, small battlefield, long term encampment, Urban house, abandoned town, cemetery, rr depot",1
"militaryentrenchment, short term encampment, airfield, rural domestic house",1
"militaryentrenchment, short term encampment, short term hopsital",1
"militaryentrenchment, small battlefield, long term encampment, headquarters, rural domestic house",1
militaryexplosive magazine,1
"militaryfort, abandoned town, ferry",1
"militaryfort, earthwork, artillery emplacement, large battlefield",1
"militaryfort, earthwork, artillery emplacement, road",1
"militaryfort, earthwork, entrenchment, small battlefield, long term encampment",1
"militaryfort, earthwork, long term encampment",1
"militaryfort, earthwork, lunette",1
"militaryfort, earthwork, lunette, rr guard post",1
"militaryfort, earthwork, redoubt",1
"militaryfort, earthwork, redoubt, large battlefield",1
"militaryfort, earthwork, redoubt, long term encampment",1
"militaryfrontier station, blockhouse, private cemetery",1
"militaryfrontier station, courthouse",1
"militarylong term hospital, rural domestic house",1
"militarylarge battlefield, cemetery",1
"militarylarge battlefield, short term encampment, cemetery, isolated grave",1
"militarylarge battlefield, short term hospital, cemetery, rural domestic house",1
"militarylarge battlefield, short term hospital, cemetery, rural domestic plantation",1
"militarylarge battlefield, short term hospital, rural domestic farmstead",1
"militarylong term encampment, cemetery",1
"militarylong term encampment, headquarters, rural domestic house",1
"militarylong term encampment, headquarters, town",1
"militarylong term encampment, long term hospital, headquarters, Urban domestic house",1
"militarylong term encampment, mill_grist, blacksmith shop, store, rural domestic house",1
"militarylong term encampment, other",1
"militarylong term encampment, private cemetery",1
"militarylong term encampment, rural domestic house",1
"militarylong term encampment, rural domestic house, farmstead, private cemetery",1
"militarylong term encampment, shipyard",1
"militarylong term encampment, small battlefield, headquarters, rural domestic plantation",1
"militarylong term encampment, tavern, rural domestic farmstead",1
"militarylong term hopsital, university",1
"militarylong term hospital, cemetery, academy",1
"militarylong term hospital, headquarters, signal station, courthouse",1
"militarylarge battlefield, rural domestic house",1
militaryisolated grave,1
"militaryfrontier station, ferry",1
"militaryinternment center, long term hospital, headquarters, military post",1
"militaryfrontier station, fort, mill_grist",1
"militaryfrontier station, fort, rural domestic farmstead",1
"militaryfrontier station, fort, rural domestic house",1
"militaryfrontier station, large battlefield, short term hospital, inn, rural domestic farmstead",1
"militaryfrontier station, mill_grist, rural domestic house, cemetery",1
"militaryfrontier station, mill_grist, rural domestic house, private cemetery",1
"militaryfrontier station, muster grounds",1
"militaryfrontier station, private cemetery",1
"militaryfrontier station, rural domestic untyped structure",1
"militaryfrontier station, short term hospital, store, post office, rural domestic house",1
"militaryfrontier station, small battlefield",1
"militaryfrontier station, small battlefield, mill_grist",1
"militaryfrontier station, small battlefield, rural domestic farmstead",1
"militaryfrontier station, small battlefield, rural domestic farmstead, mill, cemetery",1
"militaryfrontier station, small battlefield, rural domestic house",1
"militaryheadquarters, Urban house",1
"militaryheadquarters, rural domestic plantation",1
"militaryheadquarters, university",1
militaryinternment center,1
untyped structure - stone,1
