Site Type,Recorded Sites
"rural domestic house, barn, well, untyped structure",2
"cave, rock shelter",2
"militaryfort, earthwork, entrenchment, small battlefield",2
"millindeterminate, check dam",2
stone mound,2
"rural domestic house, barn,  private cemetery",2
"rural domestic farmstead, well, untyped structure",2
"rural domestic barn, untyped structure",2
"militarylong term encampment, short term hospital, headquarters, rural domestic plantation",2
"rural domestic farmstead, springhouse, private cemetery",2
"rural domestic farmstead, road, bridge",2
academy,2
"rural domestic farmstead, public cemetery",2
"militaryfrontier station, blockhouse",2
"rural domestic house, farmstead, well, cistern",2
"militaryearthwork, entrenchment, redoubt",2
"militaryearthwork, entrenchment, artillery emplacement",2
"militaryartillery emplacement, large battlefield, long term encampment",2
"nailery, rolling mill",2
militaryUS Indian Agency,2
"militaryshort term encampment, headquarters, rural domestic house",2
"rural domestic untyped structure, bridge",2
"rural domestic house, farmstead, well, untyped structure",2
millcotton,2
gold mine (pits and spoil piles),2
rural domestic untyped stone structure (pile),2
iron ore processing,2
"rural domestic untyped stone structure (fence), road",2
"iron furnace, lock-dam",2
rural domestic untyped stone structure,2
"iron furnace, dump",2
iron foundry,2
"iron forge, lock-dam",2
"militaryshort term hospital, church, public cemetery",2
"industrial, untyped historic scatter",2
"militarystockade, rr guard post",2
"militarystockade, fort",2
"industrial, lumbering operation, company town",2
"industrial, lumbering operation",2
"rural domestic springhouse, untyped structure",2
"industrial, cobbling shop",2
"industrial, bottling plant",2
public and private cemetery,2
"home industryblacksmith shop, wagonmaking shop",2
"rural domestic scatter, isolated grave",2
"militarysmall battlefield, long term encampment",2
"militarysmall battlefield, long term encampment, headquarters, rural domestic house",2
"millgrist, home industry_blacksmith shop",2
explosive magazine-non-military,2
"militaryshort term encampment, headquarters, rural domestic farmstead",2
militarycemetery,2
"rural domestic house, isolated grave (unconfirmed)",2
"rural domestic house, isolated grave",2
"rural domestic house, moonshine still",2
"militaryshort term encampment, earthwork, entrenchment",2
"militaryblockhouse, earthwork, entrenchment, rr guard post, long term encampment",2
"commercialstore, rural domestic farmstead",2
"rural domestic house, home industryblacksmith shop",2
"militaryblockhouse, entrenchment, rr guard post",2
"miltaryheadquarters, military_post",1
"rock shelter, untyped structure",1
"mineiron ore, rural domestic untyped structure",1
"rock shelter, moonshine still",1
"publicCCC camp, dump",1
"moonshine still, springhouse",1
"miltaryshort term hospital, public_courthouse",1
"publicCCC camp, rural domestic farmstead",1
"minecoal, company town",1
"moonshine still, untyped historic scatter",1
"rock shelter, rural domestic springhouse",1
"rural domestic barn, untyped structure (stone wall)",1
"post office, rural domestic house, cistern, untyped structure",1
"private cemetery, rural domestic scatter",1
minesulphur,1
"post office, rural domestic house",1
"rural domestic barn, springhouse, untyped structure",1
"post office, rural domesticmultiple features",1
"private cemetery, warehouse",1
"rural domestic farmstead, barn, road",1
"rural domestic farmstead, abandoned town, road",1
"miltaryinternment center, cemetery",1
"miltaryinternment center, military_post",1
"rock shelter, rural domestic scatter",1
"powerhouse, dam, flume",1
"rock shelter, road",1
"private cemetery, isolated grave",1
